Source;Target;topic_id;weight;relationship
glaros;Benjamin Stevens;1;2;replies_to_author
RunnerPack;thunderstruck;0;22;replies_to_author
Seam;DogP;2;1;replies_to_author
RetroDan;KGRAMR;2;2;replies_to_author
ZueriHB;Atari26003;6;1;replies_to_author
Protoman85;akumie;0;4;replies_to_author
jrronimo;TheForce81;5;2;replies_to_author
lameboyadvance;Virtual JIM;2;1;replies_to_author
ArcadeAddict;LordRayken;5;1;replies_to_author
DaVince;VirtualChris;0;35;replies_to_author
KR155E;Red Eyed Madness;2;1;replies_to_author
Cosmoliner;VBmills;5;2;replies_to_author
Heliowalton;KR155E;4;1;replies_to_author
HoMenace;bigmak;5;3;replies_to_author
shenmueso;KR155E;4;2;replies_to_author
RetroDan;KR155E;4;1;replies_to_author
KJ4860;virtualboyfreak;5;15;replies_to_author
Cornholio;KR155E;5;2;replies_to_author
mawa;jojobean;5;4;replies_to_author
thunderstruck;Mr. Halloween;2;1;replies_to_author
ThatOtherDan;Johnny Phantom;2;1;replies_to_author
Kk-Man;Johnny Phantom;2;1;replies_to_author
M.K.;Protoman85;6;3;replies_to_author
DogP;8bitmatt;0;2;replies_to_author
Chris2;SP2003&VB;2;1;replies_to_author
Lester Knight;VirtualChris;3;2;replies_to_author
Baptist;bigmak;5;2;replies_to_author
Marioguy;Alfissta;5;1;replies_to_author
burnin;Jim;5;3;replies_to_author
DaVince;in3D;5;1;replies_to_author
pocket;Robert Molander;5;1;replies_to_author
Fwow13;VBSAM;2;1;replies_to_author
DanB;jorgeche;0;6;replies_to_author
KR155E;Tauwasser;2;1;replies_to_author
DogP;Fire-WSP;4;1;replies_to_author
speedyink;Vectrexer;5;3;replies_to_author
Wyndcrosser;Red Metal;2;1;replies_to_author
StrayFelisCatus;jorgeche;0;1;replies_to_author
Dreammary;CrazyMaster;7;1;replies_to_author
KR155E;akumie;6;5;replies_to_author
wazzal;DanB;0;1;replies_to_author
DogP;Wyndcrosser;4;3;replies_to_author
jorgeche;KJ4860;2;1;replies_to_author
VBmills;speedyink;2;1;replies_to_author
RunnerPack;badboybubby;4;3;replies_to_author
Hedgetrimmer;Stay Gold;5;1;replies_to_author
DogP;VirtualZoa;0;1;replies_to_author
MetroidHatchling;Virtual_Link;6;1;replies_to_author
Dreammary;Dor-Si;5;1;replies_to_author
RunnerPack;Fazered;2;1;replies_to_author
speedyink;Fire-WSP;2;3;replies_to_author
mellott124;StereoBoy;0;1;replies_to_author
Benjamin Stevens;mxpxrobbie;5;1;replies_to_author
AtariWizard;retronintendonerd;4;1;replies_to_author
Sir William;Core_Demon;2;2;replies_to_author
Reel Big Fish;Virtual_Ben;2;1;replies_to_author
Fire-WSP;Chalvo;7;1;replies_to_author
RunnerPack;XSF04;0;1;replies_to_author
marioweezer;Dreammary;2;1;replies_to_author
Guy Perfect;Gookanheimer;5;2;replies_to_author
mawa;DrWho198;5;1;replies_to_author
Nya;Nes Freak;5;3;replies_to_author
Deadly-D;RunnerPack;0;1;replies_to_author
Justin Hayabusa;VB kirby;2;1;replies_to_author
Lester Knight;seekaseeka;4;3;replies_to_author
DogP;Protoman85;4;2;replies_to_author
RunnerPack;DogP;5;1;replies_to_author
Lester Knight;TheForce81;2;1;replies_to_author
Elrinth;DogP;2;1;replies_to_author
speedyink;Protoman85;2;11;replies_to_author
Hedgetrimmer;bigmak;2;9;replies_to_author
Benjamin Stevens;RunnerPack;2;2;replies_to_author
Alexwilkins;UncleTusker;5;1;replies_to_author
RunnerPack;TheForce81;5;1;replies_to_author
VirtualRolf;TheSmJ;2;1;replies_to_author
JoePassive;LordRayken;5;1;replies_to_author
mawa;soul'd out;2;1;replies_to_author
speedyink;Fr0st;2;2;replies_to_author
Quaze;Reel Big Fish;2;2;replies_to_author
Fwirt;DogP;4;2;replies_to_author
Dreammary;WoLfMaN;0;1;replies_to_author
VirtualJockey;LordXaero;2;1;replies_to_author
VBmills;bigmak;0;1;replies_to_author
Benjamin Stevens;Alexander;4;1;replies_to_author
Glover;VirtualChris;5;3;replies_to_author
drsreym;KR155E;5;1;replies_to_author
VBlover;VirtualChris;0;1;replies_to_author
XJaPaN;Cobra71;4;1;replies_to_author
speedyink;clonecman;4;2;replies_to_author
VBrulez;Zubari95;5;3;replies_to_author
tjsynkral;KR155E;2;1;replies_to_author
Noirtheater;KR155E;2;1;replies_to_author
3DBoyColor;Dreammary;5;2;replies_to_author
Virtual_Link;Benjamin Stevens;1;2;replies_to_author
adler_0;Xatu;5;1;replies_to_author
Fwirt;Tauwasser;2;1;replies_to_author
irving;Guy Perfect;0;1;replies_to_author
KR155E;raeshao;2;1;replies_to_author
retronintendonerd;Protoman85;5;1;replies_to_author
VBmills;seekaseeka;5;1;replies_to_author
mawa;seekaseeka;5;1;replies_to_author
Squeegor;TerryJ;6;2;replies_to_author
Vaughanabe13;Triumph;0;16;replies_to_author
jumpman;Benjamin Stevens;5;1;replies_to_author
speedyink;Kirbendo;2;1;replies_to_author
MetroidHatchling;Freeze;2;2;replies_to_author
Raverrevolution;soul'd out;5;1;replies_to_author
Benjamin Stevens;VirtuousRage;3;11;replies_to_author
akumie;VBrulez;5;2;replies_to_author
DocAetzn;tanooki;2;2;replies_to_author
TheCamel;StarshipUK;2;1;replies_to_author
VBSAM;Zubari95;4;3;replies_to_author
edracon;madmax;6;1;replies_to_author
xl443;KR155E;0;2;replies_to_author
speedyink;alesi80;2;3;replies_to_author
husan93;MineStorm;2;1;replies_to_author
seekaseeka;HP Lovethrash;4;1;replies_to_author
Levine91;mellott124;2;2;replies_to_author
vuefinder83;Schwanck;5;1;replies_to_author
SNK;Vaughanabe13;2;1;replies_to_author
Hedgetrimmer;HollowedEmpire;5;1;replies_to_author
speedyink;MegaSilverX1;2;2;replies_to_author
InactiveX;segagamer99;5;1;replies_to_author
RunnerPack;TheForce81;2;6;replies_to_author
jorgeche;DogP;0;15;replies_to_author
Benjamin Stevens;Greg Stevens;0;4;replies_to_author
VBmills;TheForce81;5;2;replies_to_author
rubengar;soul'd out;2;1;replies_to_author
Deadly-D;edracon;2;3;replies_to_author
Tauwasser;HonkeyKong;2;1;replies_to_author
thunderstruck;Virtual_Link;0;2;replies_to_author
Benjamin Stevens;colesonwilson;5;7;replies_to_author
wcmiker;Vender;5;2;replies_to_author
blitter;tetris911;2;1;replies_to_author
Protoman85;jojobean;5;1;replies_to_author
speedyink;Morintari;6;1;replies_to_author
madmax;Johnny Phantom;2;1;replies_to_author
VBrulez;TheForce81;0;1;replies_to_author
bigmak;Jeff;2;1;replies_to_author
Fez;KJ4860;2;1;replies_to_author
vuefinder83;KR155E;5;32;replies_to_author
Robert Molander;KR155E;5;14;replies_to_author
wazzal;gunpeiyokoifan;5;1;replies_to_author
mawa;akumie;0;1;replies_to_author
VirtualJockey;akumie;2;8;replies_to_author
burnin;dumdedum;5;2;replies_to_author
KR155E;Mobat555;5;1;replies_to_author
Protoman85;UncleTusker;2;2;replies_to_author
segagamer99;BlinksTale;0;1;replies_to_author
Virtual_Link;Dreammary;5;1;replies_to_author
melloman;KR155E;0;1;replies_to_author
Atari26003;virtualboyfreak;2;2;replies_to_author
KR155E;colesonwilson;5;1;replies_to_author
L___E___T;in3D;0;1;replies_to_author
Wyndcrosser;DanB;2;1;replies_to_author
HorvatM;3DBoyColor;0;2;replies_to_author
bigmak;0XiX0;4;1;replies_to_author
Lester Knight;TheToxicCollector;5;1;replies_to_author
VirtualChris;thunderstruck;2;1;replies_to_author
trueskins;Protoman85;5;1;replies_to_author
lameboyadvance;FaZyCrUcK;2;1;replies_to_author
manicfoot;CrazyMaster;7;1;replies_to_author
Florian;CrazyMaster;7;1;replies_to_author
Protoman85;retronintendonerd;6;2;replies_to_author
reality_boy;terminalinsanity;4;2;replies_to_author
