Id;lpa_id
shawbi;755914244100
Okonomiyaki;1331439861760
cazman;755914244100
Geo12;755914244100
Silicon;755914244100
Marulu;1331439861760
DaddaRuleKonge;1331439861760
modmaster;1331439861760
DBloke;1331439861760
gamesbloke;1331439861760
merc;1331439861760
unstablewarpfield;1331439861760
bennybtl;1331439861760
DER3Z;1331439861760
adler_0;1331439861760
djjack;755914244100
Taute;755914244098
HonkeyKong;1331439861760
Thomas Rode;755914244098
plankton;755914244098
David;755914244100
Fwirt;1331439861760
Issa;1331439861760
Brian Hodges;1331439861760
Matthew Callis;1331439861760
Tauwasser;1331439861760
Sega CD;1331439861760
lklunder;1331439861760
svenk91;1331439861760
Dubble;755914244100
L___E___T;1331439861760
ALLeyeCisRED;1331439861760
DMC;1331439861760
Guido Anchovy;1331439861760
Craby;1331439861760
Acer;755914244098
cr1901;1331439861760
RayXambeR;1331439861760
Bubbletopseb;1331439861760
Chris2;755914244100
BigFred;1331439861760
desert_fan_club;1331439861760
Vitual Jim;755914244100
GameJunkie;1331439861760
mavness;1331439861760
czar_h;1331439861760
slicerd;1331439861760
(_) u a k e;755914244100
...;755914244100
Hungry Mech;755914244100
jpkiller69;1331439861760
Dreth;1331439861760
core-gamers;755914244100
Motament;1331439861760
TheForce81;1331439861760
Arius Geist;755914244100
mobster011;755914244100
CodeFish;755914244100
KapuX;755914244100
burnin;755914244100
modeltfordman;1331439861760
Andrew Nguyen;755914244098
xenon;755914244100
Hawl Tygar;755914244100
blizzardjesus;1331439861760
samus;755914244100
ThaChizzler;1331439861760
NMC1;755914244100
T-SqProductions;1331439861760
kcsims;1331439861760
Thehecter;1331439861760
badboybubby;755914244100
VirtualJockey;1331439861760
HtheB;755914244100
Minggus;1331439861760
capcomfan83;1331439861760
Benny;1331439861760
Streex;1331439861760
manicfoot;755914244100
gilgamesh;755914244100
Strangler;755914244100
PeckGoesVirtual;1331439861760
DarkusMarkus;1331439861760
fernando vba master;755914244100
konsolenfan;755914244098
sirhcman;755914244100
LazerDickMcCheese;1331439861760
thitherton;1331439861760
Gators;1331439861760
AceMilo;755914244100
goat84;755914244100
superduperdrew;1331439861760
raeshao;755914244100
Sampler;755914244100
enfilade;1331439861760
RyuCheese;755914244100
Supa~Squrriel;755914244100
ste;1331439861760
blah;755914244100
Erik;755914244100
∆ + 0 / 9;755914244100
kitaro;755914244100
xxpcmxx;755914244100
Fazered;755914244100
Ringman;755914244100
Johnny Phantom;1331439861760
IOwnMyWiiULEGIT;1331439861760
GeoAnas;1331439861760
Norkusa;1331439861760
kmksoulja;1331439861760
8bitmatt;1331439861760
DerSchatten;755914244100
Commanderraf;1331439861760
Fire-WSP;755914244100
Mednafen;1331439861760
shistos;755914244100
Mobius;180388626433
ferris;1331439861760
decayedmatter;1331439861760
albersan;755914244098
Agent2112;1331439861760
Black Chaos;755914244100
Da_GPer;1331439861760
VirtualBoyX;1331439861760
UncleTusker;1331439861760
Triumph;1331439861760
Dande?!;755914244100
brizio;755914244100
turqoisehex;1331439861760
Ryosaebaa;755914244100
JLateralus;755914244100
PerfectlyNoah;1331439861760
Sceptre_JLRB;1331439861760
zenintrude;1331439861760
Brandon Tabassi;755914244098
Greg Stevens;1331439861760
dimix;1331439861760
Jochen;755914244098
Kooper;755914244100
Autofaker;755914244100
willsg1977;755914244100
andresfc;1331439861760
Shokwav;1331439861760
ShinigamiPR;755914244100
jrodrigue2;1331439861760
Troma;755914244100
dRoSe;755914244100
edracon;755914244100
loktar;1331439861760
lopingg;1331439861760
Lester Knight;1331439861760
Jonny;1331439861760
MAXLEFOU;755914244100
stuey;1331439861760
DuelPear;1331439861760
guest;755914244100
Sam Murdock;755914244098
krs1;755914244100
gdfgdf;816043786241
AlexMarseglia;1331439861760
133MHz;1331439861760
VectrexRoli;1331439861760
Willy105;755914244100
Osmodiar;1331439861760
huhWhat;755914244100
Chaz;1331439861760
colb;755914244100
RileyVB;755914244100
XJaPaN;755914244100
JoserMDK;1331439861760
GauBan;1331439861760
HollowedEmpire;1331439861760
VirtualGirl;755914244098
RobotTypePerson3D;1331439861760
UncleGramps;1331439861760
Tres Wright;1331439861760
Tower of Infinity;755914244100
nitrosport2000;755914244100
retro gamer;755914244100
kurtori;1331439861760
KM;755914244100
3Dhardcore;1331439861760
Kirbendo;1331439861760
Nitrosoxide;1331439861760
LS650;755914244100
silver2236;755914244100
VBAddict;1331439861760
VirtuousRage;1331439861760
e5frog;1331439861760
benzin;1331439861760
Kemakill;1331439861760
rimsky82;1331439861760
cause415;1331439861760
Sbeehive;1331439861760
tomkong97;1331439861760
JavOLeeN;755914244100
MockyLock;1331439861760
bd974;1331439861760
ZKB;1331439861760
Megatron;1331439861760
akumie;1331439861760
Kk-Man;1331439861760
Kentendo;755914244100
Charrass69;755914244098
lordkevin;1331439861760
jzagal;1331439861760
CZroe;1331439861760
PeepingSnipa;1331439861760
joker1000;755914244098
Brahillia;1331439861760
fxyjenna89;1331439861760
megazoid;1331439861760
tegu;1331439861760
sf_fan;1331439861760
3DSJunkie;755914244100
RedIsAGreatColor;1331439861760
drsreym;755914244100
vbsteffel;1331439861760
Alex;1331439861760
jumpman;1331439861760
dolphin-maniac;755914244098
TheToxicCollector;1331439861760
fups;755914244100
Baptist;1331439861760
SQX;755914244098
injection18;755914244100
DogP;1331439861760
Russcular;1331439861760
Mack;1331439861760
Brooklyn;1331439861760
tom_01997;1331439861760
VirtualMan!;1331439861760
Jay666;1331439861760
I h8t you're message;1331439861760
Rhoam;1331439861760
ProtonX;1331439861760
edwingamino;755914244100
Bustedboy2;1331439861760
SPACE HARRIER;755914244100
frenchievb;1331439861760
-~=Hello=~-;755914244100
Kyrushi;1331439861760
DerekAutista;1331439861760
kim293;755914244100
jasonbar;1331439861760
kiltymchaggis;1331439861760
Akuma-Sama;755914244098
gryfang;755914244100
pocket;755914244100
thatguyinjapan;1331439861760
Octaedre;1331439861760
Trev;755914244100
MatthewMcGrath;1331439861760
Nessie;755914244100
crazymusicguy;1331439861760
Hadhod;755914244100
Gabriel;755914244098
pimp72;755914244100
renardqueenston;1331439861760
Michael Austin;1331439861760
MrSci-Fi;755914244100
D.R MARIO;755914244098
Phobophile;1331439861760
LeusteanVB;1331439861760
lostwithin;1331439861760
binary;1331439861760
Steve Solen;755914244100
mathew;1331439861760
DrWho198;1331439861760
saim jutt;1331439861760
guillaumeber;1331439861760
Alex uwu;1331439861760
aceman;755914244098
Metkid91;755914244100
mips5000;1331439861760
syncophono;1331439861760
Lynx;755914244100
Virtual Boy Freak;755914244098
Tighe;1331439861760
VirtualZoa;755914244100
Gamist;755914244100
3DBoyColor;1331439861760
Bernhard Müller;755914244098
CyberAkuma;1331439861760
Virtual_Ben;1331439861760
Wyndcrosser;1331439861760
16bitz;1331439861760
FAHQALL;1331439861760
Tokimemofan;1331439861760
the_importer;1331439861760
Key;1331439861760
Stirling;1331439861760
Foulmoustache;1331439861760
VBERIC;1331439861760
kevster;1331439861760
ilarri;755914244100
NGNM85;1331439861760
Rolan;1331439861760
Prkchpsndwiches;755914244100
HoMenace;1331439861760
norsk kriger;1331439861760
NeoGojira;1331439861760
AtariBorn;1331439861760
FlareFolf;1331439861760
DanB;1331439861760
seekaseeka;1331439861760
pm5k00;755914244100
Virtualboyblows;755914244100
jbonez;755914244100
Virtually_Obsessed;755914244100
andy;755914244098
njkauto1;1331439861760
SmokeMonster;1331439861760
mik;755914244100
Metal Man;1331439861760
Marco;755914244098
Plankton;755914244098
KGRAMR;1331439861760
johnme;755914244100
Zimbabwe;1331439861760
RocketMagnet;755914244100
SpiralPegasus;1331439861760
Ebisumaru;755914244100
mellott124;1331439861760
ThatOtherDan;1331439861760
XIX;755914244100
DrafT_PunK;755914244100
tanooki;755914244100
TopHatGamingMan;1331439861760
vbeol;1331439861760
SuperMew98;1331439861760
Mathieu;1331439861760
jimid2;755914244100
Philipxb;1331439861760
CRK;755914244098
TerryJ;1331439861760
zcore101;755914244098
Freeze;755914244100
bbutl001;755914244100
baron_beef_dip;1331439861760
Weatherton;755914244100
videotech;1331439861760
vassallo;1331439861760
Black&Red;1331439861760
BenRPG;755914244100
alesi80;1331439861760
Stein;755914244100
super mario;755914244098
Fredde;755914244100
ectoglow;1331439861760
Supergeon;1331439861760
pandepandu;755914244100
bieze;755914244100
Rob;755914244100
VBSAM;1331439861760
Slainte;1331439861760
TwinFami;1331439861760
BigScheaf;1331439861760
VirtualMoose;755914244100
gunpeiyokoifan;1331439861760
Speedle;1331439861760
Ironhell;755914244100
Pierce;755914244100
GokaiAwesome;1331439861760
El Borto;755914244100
vbman;1331439861760
reality_boy;755914244100
wcmiker;1331439861760
NR20;755914244100
Sergio;1331439861760
SP2003&VB;755914244100
duddyroar;1331439861760
Specialt1212;1331439861760
descarganga;1331439861760
ohioratrodder;1331439861760
Richard LP;1331439861760
Vender;1331439861760
wmi;1331439861760
virtuetovice;1331439861760
Red Eyed Madness;1331439861760
DCFreak;755914244100
akeara4;1331439861760
marle;755914244098
McHuffin;755914244100
mooshue;1331439861760
Gookanheimer;1331439861760
coleco;1331439861760
darthsteve333;1331439861760
popple;755914244100
Spinal;755914244100
Vegemetal;1331439861760
Nasum;1331439861760
Van7uke;1331439861760
nova1313;1331439861760
MrX;1331439861760
Viper0hr;1331439861760
Protoman85;1331439861760
Mandy;755914244100
Virtual_Bembo;755914244100
affection;1331439861760
vb-fan;1331439861760
Cobra71;755914244100
Jason;755914244098
Mimiphi;1331439861760
DPsx7;1331439861760
Rocksteady;755914244100
willi;755914244098
Yeti3D;1331439861760
nintendoclassic;755914244100
gwyndion;1331439861760
XSF04;755914244100
Noirtheater;755914244100
RpgCollector;1331439861760
DocAetzn;755914244100
haaze707;1331439861760
xl443;755914244100
Sega_gw;755914244100
homer_81;755914244098
danny;755914244100
brunorog;1331439861760
Lee A. Hannula;755914244100
TheHandsomeDan;1331439861760
Tets;755914244100
Feva Records;755914244100
anothercastle;755914244100
RetroGmr;1331439861760
bodkinz;1331439861760
Splurge;1331439861760
OneSwoodGuy;1331439861760
Gotmished;1331439861760
mattcutt;1331439861760
Techni;1331439861760
virtualpal;1331439861760
Tjb123;1331439861760
Monster;712964571137
Ken;1331439861760
Superkamiguru72;1331439861760
cualquiercosa327;1331439861760
Bleachmagic;1331439861760
Manwe;1331439861760
sandwich;1331439861760
ACressman89;1331439861760
RadioClash;755914244100
HandsomeDan;755914244100
Seam;1331439861760
virtual boy 2k;755914244100
Reel Big Fish;1331439861760
DrEvil;1331439861760
Sir William;755914244100
maccallan;755914244100
Rich;1331439861760
Poopy;712964571137
Lee Chapman;1331439861760
Princess;1331439861760
Climax Together;755914244100
fryster;1331439861760
sofiane;712964571137
Hoov3r;755914244100
Nirwana;755914244100
Daniel Reimer;1331439861760
Eugen Schlauch;755914244098
thaddius;755914244100
glaros;1331439861760
Parasyte;1331439861760
Vague Rant;1331439861760
Person;755914244100
3D in red;755914244098
Ryu Cheese;755914244100
Virtualman;755914244100
AdamDud;755914244100
Drazic;755914244100
virtualcol;1331439861760
TrJ22487;755914244100
VirtualLuigi;755914244100
eric;755914244098
Tanuki;755914244100
r05sco;1331439861760
Arvester;1331439861760
Ayce;755914244100
uzumaki;755914244100
ulao;1331439861760
lukegilmour;755914244100
Squeegor;1331439861760
peyo;1331439861760
MAXIMUS00;755914244100
bigmak;1331439861760
Mysticmaus;755914244100
terrisus;755914244100
j mo;1331439861760
hawk1010;1331439861760
madone;755914244100
Virtuanatic;1331439861760
Yackom;1331439861760
Dacy;1030792151047
ferny;523986010120
3L_S4N70;1331439861760
Jive;1331439861760
mxpxrobbie;1331439861760
PsychedelicShaman;1331439861760
Fred brown;755914244098
belinoreis;1331439861760
chicgamer;1331439861760
speedyink;1331439861760
flashbang_23;755914244100
virtualboyfan;755914244100
Jkelly;1331439861760
Poohie53;1331439861760
Shizbah;755914244100
syrupdash;1331439861760
FamicomFreak;755914244098
Seppatoni;755914244098
DevilsAvocado;1331439861760
Sidepocket;755914244100
knightrider666;1331439861760
skcin7;1331439861760
Deadly-D;755914244100
Akuma632;1331439861760
Gerhard Schweizer;755914244098
doesbenfoldfive;1331439861760
Elisha;712964571137
BillyTheBigDeal;1331439861760
smashkid;755914244098
funderos;755914244100
Atari26003;755914244100
DEEJAYZAQ;1331439861760
coupe_sherm;1331439861760
MortoffGames;1331439861760
Simonbelmont78;1331439861760
Guy Perfect;1331439861760
SoBS;755914244098
Burkel;1331439861760
Snowspinner;506806140934
nibiru8722;1331439861760
frostyboy;1331439861760
chrisgringo;1331439861760
Kira;755914244100
AlrightYa;1331439861760
dasi;1331439861760
Ryu;755914244100
Srimok;1331439861760
Callidus;1331439861760
0dd;1331439861760
drunkencat;1331439861760
Dr_Sbaitso;1331439861760
MrOwl;1331439861760
Florian;755914244098
VBlover;1331439861760
JAUG;1331439861760
Cornholio;1331439861760
kael;755914244100
nintendodork;1331439861760
darkknight109;1331439861760
VBmills;1331439861760
Samuel;755914244100
Marty866;755914244100
keneda;1331439861760
Masterking;755914244100
Koohiisan;1331439861760
LouSalome;1331439861760
