Source;Target;weight
Richard LP;Feedback;1
RAD;Feedback;8
masematte;FlashBoy;1
wcmiker;Main Virtual Boy Discussion;9
Geo12;Main Virtual Boy Discussion;3
10YLL;Main Virtual Boy Discussion;2
Strangler;Main Virtual Boy Discussion;14
norsk kriger;Main Virtual Boy Discussion;3
clonecman;Main Virtual Boy Discussion;8
David cho;Main Virtual Boy Discussion;5
Parasyte;Marketplace;5
Virtual_Ben;Marketplace;2
virtualboyfreak;Marketplace;3
nensondubois;Offtopic;1
Autofaker;PVB Coding Competition 2008;1
trueskins;PVB Coding Competition 2010;1
Fiend-o-Hell;Virtual Boy Development Board;5
FAHQALL;Virtual Boy Development Board;1
Mr.Anon;Virtual Boy Development Board;3
UHATEIT;FlashBoy;6
Chris;FlashBoy;2
Protoman85;FlashBoy;6
Fire-WSP;Main Virtual Boy Discussion;75
skeg64;Main Virtual Boy Discussion;1
JackLeather;Main Virtual Boy Discussion;3
MasterOfPuppets;Marketplace;2
alunnaheel;Marketplace;3
Kompressor;Offtopic;1
Morintari;PVB Coding Competition 2010;1
FaZyCrUcK;Virtual Boy Development Board;10
azila;Virtual Boy Development Board;1
VRZone;Feedback;3
VBabe86;Feedback;7
Dinniz;Feedback;1
Cruz40;FlashBoy;2
Troma;FlashBoy;1
Spindick;Main Virtual Boy Discussion;1
Fanatic Crisis;Main Virtual Boy Discussion;3
dave4shmups;Main Virtual Boy Discussion;1
J;Main Virtual Boy Discussion;1
Karnalg;Main Virtual Boy Discussion;3
belinoreis;Marketplace;1
Arvester;Offtopic;8
Zubari95;PVB Coding Competition 2010;3
VBlover;PVB Coding Competition 2010;2
Guy Perfect;PVB Coding Competition 2013;19
StealthNinjaScyther;Virtual Boy Development Board;5
Samuel;Virtual Boy Development Board;10
Benjamin Stevens;Feedback;16
Diego;Feedback;1
towersmaster;Feedback;1
Reel Big Fish;FlashBoy;2
Wario;FlashBoy;1
MegaSilverX1;Main Virtual Boy Discussion;51
VivaLaVirtualBoy;Main Virtual Boy Discussion;18
MasterOfPuppets;Main Virtual Boy Discussion;59
rubengar;Main Virtual Boy Discussion;4
Jack.;Main Virtual Boy Discussion;20
Nosna;Main Virtual Boy Discussion;19
Dr.Crackers;Main Virtual Boy Discussion;22
Ringman;Main Virtual Boy Discussion;2
ACressman89;Main Virtual Boy Discussion;2
Monster;Main Virtual Boy Discussion;1
tcr9315;Marketplace;4
virtualboyfreak;Offtopic;19
Fire-WSP;Offtopic;5
Craby;PVB Coding Competition 2013;3
LS650;Virtual Boy Development Board;3
willsg1977;Virtual Boy Development Board;1
Neskid;Virtual Boy Development Board;1
Yeti3D;Virtual Boy Development Board;1
Willy105;FlashBoy;3
cr1901;FlashBoy;1
shiro_akechi;Main Virtual Boy Discussion;12
Starfox;Main Virtual Boy Discussion;3
VBabe86;Offtopic;7
John E Bravo;Offtopic;4
LeusteanVB;Offtopic;2
speedy;Offtopic;1
Robert Molander;Virtual Boy Development Board;8
ThatOtherDan;Virtual Boy Development Board;1
Maraakate;Virtual Boy Development Board;1
norty;Virtual Boy Development Board;1
albersan;Feedback;1
Seam;Main Virtual Boy Discussion;30
Algoon;Main Virtual Boy Discussion;4
johnme;Main Virtual Boy Discussion;1
VirtualMan!;Main Virtual Boy Discussion;3
wizard;Main Virtual Boy Discussion;15
nmalinoski;Main Virtual Boy Discussion;2
OneSwoodGuy;Main Virtual Boy Discussion;4
Jan;Main Virtual Boy Discussion;1
racerx;Offtopic;4
sho-sa;Feedback;1
Thomas Brenner;Feedback;1
Craby;FlashBoy;4
Parasyte;Main Virtual Boy Discussion;7
doesbenfoldfive;Main Virtual Boy Discussion;11
sirhcman;Main Virtual Boy Discussion;2
One Punch Man;Main Virtual Boy Discussion;6
Shkunk;Marketplace;1
Rich;Marketplace;2
One Punch Man;Marketplace;1
Splain;Offtopic;3
TheNix;Virtual Boy Development Board;6
Gerhard Schweizer;Feedback;1
famiac;Main Virtual Boy Discussion;3
peyo;Main Virtual Boy Discussion;2
procyon;Main Virtual Boy Discussion;1
ter3;Main Virtual Boy Discussion;3
thunderstruck;Marketplace;51
Baptist;Marketplace;26
lopingg;Marketplace;6
Nosna;Marketplace;3
Nya;Marketplace;4
Kira;Offtopic;2
Benjamin Stevens;Virtual Boy Development Board;158
tetris911;Virtual Boy Development Board;3
d.r mario;Feedback;1
Dor-Si;FlashBoy;5
HorvatM;Main Virtual Boy Discussion;250
dogeymon;Main Virtual Boy Discussion;2
Jacob;Main Virtual Boy Discussion;1
duey2k;Main Virtual Boy Discussion;1
gast;Main Virtual Boy Discussion;1
superduperdrew;Main Virtual Boy Discussion;1
shenmueso;Marketplace;8
Kyrushi;Marketplace;2
InactiveX;Marketplace;13
RetroDan;Marketplace;3
DanB;PVB Coding Competition 2010;11
Wyndcrosser;PVB Coding Competition 2013;8
hkdio;FlashBoy;1
ziggaboogi;Main Virtual Boy Discussion;12
GabrielHanson2000;Main Virtual Boy Discussion;25
SuperMew98;Main Virtual Boy Discussion;7
george;Main Virtual Boy Discussion;1
player2000;Main Virtual Boy Discussion;1
TheForce81;Marketplace;35
Marulu;Offtopic;4
DaVince;VB Dev Repository;1
JackFost;Virtual Boy Development Board;5
Alex;Feedback;2
footwo;FlashBoy;1
jasonbar;Main Virtual Boy Discussion;8
sillyzombie666;Main Virtual Boy Discussion;20
Spacehead;Main Virtual Boy Discussion;1
ulao;Main Virtual Boy Discussion;5
Poopy;Main Virtual Boy Discussion;1
Protoman85;Marketplace;13
Virtual Pat;Marketplace;2
NamelessFPG;Offtopic;5
Richard LP;Offtopic;3
TheForce81;PVB Coding Competition 2010;4
mbuchman;Virtual Boy Development Board;34
VivaLaVirtualBoy;Feedback;2
Chris;Feedback;1
chrisideluxe22;Feedback;1
Kuhnaydeein;Feedback;1
litephiter;FlashBoy;2
Protons;FlashBoy;1
HoMenace;Main Virtual Boy Discussion;68
mutchop;Main Virtual Boy Discussion;4
Fabrizo;Main Virtual Boy Discussion;1
HorvatM;Marketplace;2
colesonwilson;Offtopic;4
_shameless_;Offtopic;5
enfilade;PVB Coding Competition 2013;1
Wyndcrosser;Virtual Boy Development Board;43
Deadly-D;Virtual Boy Development Board;14
kurtori;Virtual Boy Development Board;1
VirtualBoyYokoi;Virtual Boy Development Board;1
Manwe;FlashBoy;3
DogP;FlashBoy;19
Guy Perfect;Main Virtual Boy Discussion;112
Vulpes;Main Virtual Boy Discussion;18
shistos;Main Virtual Boy Discussion;4
virtual boy 2k;Main Virtual Boy Discussion;4
gladders;Main Virtual Boy Discussion;8
Nirwana;Main Virtual Boy Discussion;1
RileyVB;Main Virtual Boy Discussion;8
Akuma632;Main Virtual Boy Discussion;1
DrafT_PunK;Main Virtual Boy Discussion;1
64BitMatthew;Marketplace;3
Neil;Marketplace;1
josephmalenkov;Offtopic;3
Mintor;FlashBoy;1
DaytonaUSA;FlashBoy;2
akumie;Main Virtual Boy Discussion;149
ntcmpjg;Main Virtual Boy Discussion;2
Schwanck;Marketplace;1
Vorpal;Feedback;1
Thomas Rode;Feedback;1
Mycah;FlashBoy;1
OzzySan;FlashBoy;1
racerx;Main Virtual Boy Discussion;5
JohnSReid;Main Virtual Boy Discussion;1
VBrulez;Marketplace;5
DarrylFC;Marketplace;6
cr1901;Offtopic;3
thunderstruck;PVB Coding Competition 2013;49
HorvatM;PVB Coding Competition 2013;9
Silicon;Virtual Boy Development Board;1
juggaloman09;Virtual Boy Development Board;1
Guest;Feedback;2
madgolfertom;Feedback;1
VirtuousRage;Feedback;3
Italian Boy;Feedback;1
Vaughanabe13;Feedback;4
Magus;FlashBoy;1
XJaPaN;FlashBoy;1
Big Bank Hank;Main Virtual Boy Discussion;3
Richard LP;Main Virtual Boy Discussion;50
tetrisgrammaton;Main Virtual Boy Discussion;3
mouser;Main Virtual Boy Discussion;1
sea_man;Main Virtual Boy Discussion;2
skeptik82;Marketplace;2
xenon;PVB Coding Competition 2010;2
Steve;Virtual Boy Development Board;1
Supa~Squrriel;Virtual Boy Development Board;1
chicgamer;Virtual Boy Development Board;1
segagamer99;Virtual Boy Development Board;21
Dietmar;Feedback;1
virtual boy liker;Feedback;1
carlo3do;FlashBoy;1
fxyjenna89;FlashBoy;2
Cosmoliner;FlashBoy;1
nintendodork;Main Virtual Boy Discussion;2
AdamDud;Main Virtual Boy Discussion;4
Planlos1988;Main Virtual Boy Discussion;2
Sad, little man;Main Virtual Boy Discussion;3
Buck Russell;Main Virtual Boy Discussion;2
StereoBoy;Marketplace;2
Cosmoliner;Offtopic;8
Syder;Offtopic;1
gunpeiyokoifan;PVB Coding Competition 2008;1
speedyink;Virtual Boy Development Board;71
Reel Big Fish;Virtual Boy Development Board;2
Yeti_dude;Virtual Boy Development Board;18
RunnerPack;Feedback;104
Matthew Callis;FlashBoy;1
Virtualboy [Swe];FlashBoy;4
coupe_sherm;Main Virtual Boy Discussion;12
Mysticmaus;Main Virtual Boy Discussion;13
DaG;Main Virtual Boy Discussion;3
tyler;Main Virtual Boy Discussion;2
Andyfell;Main Virtual Boy Discussion;2
syncophono;Main Virtual Boy Discussion;4
retro gamer;Main Virtual Boy Discussion;1
emul8this;Main Virtual Boy Discussion;2
