Id;node_type
PVB Coding Competition 2008;1
FlashBoy;1
VB Dev Repository;1
PVB Coding Competition 2010;1
Virtual Boy Development Board;1
Offtopic;1
Marketplace;1
PVB Coding Competition 2013;1
Main Virtual Boy Discussion;1
Feedback;1
mellott124;2
...;2
Stay Gold;2
drexegar;2
MortoffGames;2
Sinistar87;2
superduperdrew;2
knightrider666;2
Alex uwu;2
FreshWhiteT;2
Streex;2
ALLeyeCisRED;2
Microtic;2
speedy;2
bigmak;2
RetroDan;2
trueskins;2
Trev;2
Heliowalton;2
ShinobiMan;2
ABSENTminded;2
bennybtl;2
Nasum;2
kynrek;2
Supervlieg;2
Drouch22;2
Rich;2
Van7uke;2
Twingatz;2
James10898;2
ThaChizzler;2
Go lay down and die!!!!;2
DanB;2
Cobra71;2
Nerd;2
zeromous;2
fups;2
octopus;2
DMC;2
aceman;2
the_red_one;2
manicfoot;2
TheTeaGuy;2
SuToCorp;2
Lord Cubenes;2
Gast;2
cause415;2
Lee A. Hannula;2
juanignacioriesco2;2
shiro_akechi;2
vbeol;2
Mysticmaus;2
Kuhnaydeein;2
Rex Dart;2
Italian Boy;2
gunpeiyokoifan;2
Steve;2
DJMARCO;2
Dunkelheit;2
Vorpal;2
Yodakiller3000;2
usch;2
kit23;2
Starfox;2
Manwe;2
Gameboygeek;2
Metkid91;2
Borman;2
towersmaster;2
Brandon Tabassi;2
Had0ken;2
Ryu;2
DarrylFC;2
MrSci-Fi;2
skcin7;2
Knightcrawler;2
jaku;2
Confusednerd;2
1Up;2
virtualcol;2
BrandoN GothiK;2
kingbrandus111;2
S7AYONTARGE7;2
mathew;2
10YLL;2
Your Bill Gate's bitch!;2
kmksoulja;2
seekaseeka;2
Nin;2
Levine91;2
Metal Man;2
edracon;2
TrJ22487;2
Mobius;2
e5frog;2
marky242;2
RCAstudioII;2
D.T.;2
Quate;2
retronintendonerd;2
DrWho198;2
gilgamesh;2
icomage;2
nmalinoski;2
Ein Gast;2
Sisco;2
mattcutt;2
Bufko;2
Bob Backland;2
mr red;2
strudders;2
sw201444;2
nensondubois;2
danimalcollective;2
VirtualE;2
Der Lordkanzler;2
player2000;2
jason;2
jumpsteady;2
DER3Z;2
Poohie53;2
McHuffin;2
shawbi;2
brasi;2
POLIWOG;2
VB kirby;2
ziggaboogi;2
XJaPaN;2
Shou;2
Okonomiyaki;2
Bruno;2
-~=Hello=~-;2
VirtualLuigi;2
kevster;2
loktar;2
eyezofnight;2
superwer;2
D.R MARIO;2
Fiend-o-Hell;2
sTo0z;2
NMC1;2
Poopy;2
sandwich;2
Shiggsy;2
Baptist;2
basscadet;2
dantebk;2
SuperRetroBrosBlog;2
darkmath;2
Jason;2
JackLeather;2
kael;2
nova1313;2
Vulpes;2
Antonio;2
Thomas Brenner;2
Daniel Reimer;2
P3n0r;2
akumie;2
Jim;2
hultsimer;2
TNTisKING;2
isolomon6;2
Greg Stevens;2
SuperMew98;2
Ray;2
ramgarden;2
racerx;2
Hungry Mech;2
benzin;2
Pawel;2
adlena;2
belinoreis;2
nopantsx;2
realwws;2
Fury;2
brizio;2
jpkiller69;2
16bitz;2
insmouse;2
JackFost;2
Srimok;2
ChrisR;2
Dreth;2
Hector;2
CrU553;2
Magnus Johansson;2
ferris;2
ferny;2
Deadly-D;2
Cruz40;2
dasjamma;2
gladders;2
Marc;2
Emul8tor;2
Chris;2
Memnock;2
Pink_Pig;2
MegaSilverX1;2
T-SqProductions;2
Chrisf;2
dimix;2
pablo;2
JohnSReid;2
Brahillia;2
Jadepicnic;2
Callidus;2
jjaammeess;2
Dreammary;2
DeAthWaGer;2
KJ4860;2
LotsaSpaghetti;2
Strangler;2
dentaku;2
andy b;2
Undead;2
DragonmasterDX;2
Jim2029;2
MunsonRoyE;2
blackeyedgamer;2
cazman;2
Akuma632;2
ohioratrodder;2
Mimiphi;2
Jim1174;2
Wario;2
SQX;2
Raptor2569;2
element6;2
nerdyguy64;2
Stein;2
Richard LP;2
wcmiker;2
PBX;2
DaNDeE;2
Lumi;2
VB_sage;2
azila;2
Koteshi;2
madmax;2
decayedmatter;2
tom_01997;2
Fanatic Crisis;2
raeshao;2
Jack;2
zcore101;2
Gerhard Schweizer;2
Marco;2
dremcast;2
adler_0;2
GameJunkie;2
Diego;2
Soma;2
eric;2
Hedgetrimmer;2
Freeze;2
Jack.;2
saim jutt;2
bbutl001;2
rancidskater;2
djjack;2
makeinu;2
pm5k00;2
skeg64;2
Mobat555;2
viper711;2
acedout1;2
wazzal;2
nintendodork;2
Spindick;2
0dd;2
Lee Chapman;2
Jochen;2
ACiD;2
Robert Molander;2
Vender;2
orangest;2
MOLINASON;2
chicgamer;2
Techni;2
Matt Fisher;2
ResidentSteve;2
Allen;2
kwk;2
goomboy;2
sea_man;2
VirtualMan!;2
turqoisehex;2
Issa;2
matt;2
core-gamers;2
C4l^in;2
Morintari;2
keneda;2
adinallin;2
Andy B;2
Tom;2
mrobins230;2
geekstop711;2
segagamer99;2
DaVince;2
Speedle;2
DPsx7;2
2Aron13;2
Kemakill;2
speedyink;2
Dave_;2
Nosna;2
Ironhell;2
_shameless_;2
LordRayken;2
Karnalg;2
Juan Solano;2
bazilbourgeois;2
SublimeJhn;2
Mackin2010;2
VisualBoy Advance;2
Sbeehive;2
Virtual Pat;2
virtualpal;2
Fazered;2
Sek;2
Dale;2
SMVB64;2
;2
Tuna;2
procyon;2
injection18;2
Martyg;2
nifwji;2
Sir_Ronny_2000;2
gast;2
Mathieu;2
83skillz;2
RpgCollector;2
pollo20x6;2
Kk-Man;2
Geo12;2
fxyjenna89;2
Phil;2
Awesomessprime;2
dragz;2
albersan;2
Mycah;2
MrX;2
Brian Hodges;2
taoworm23;2
Virtualboyblows;2
Aquanistic;2
Masterking;2
Viper0hr;2
tomkong97;2
Bauer Florian;2
"\"Person\"";2
tarsius4;2
idsblake;2
RobFRules;2
ghibben;2
wmi;2
CaptGinyu89;2
Kooper;2
Jacob;2
ACressman89;2
how do u get virtual boy advan;2
Koohiisan;2
Nitrosoxide;2
geoflcl;2
eljulinspace;2
Rocksteady;2
TheHandsomeDan;2
Jeth;2
Eugen Schlauch;2
darkknight109;2
Hadhod;2
DENNIS;2
HarMarFan;2
calpirro;2
Dinniz;2
TheretroGameboy;2
Tanuki;2
AtariWizard;2
Kyrushi;2
person;2
RadioClash;2
blah;2
Guido Anchovy;2
StinkerB06;2
CrazyDean;2
r05sco;2
melloman;2
jaytee81;2
tyler;2
Tets;2
RotoMan;2
redbunny;2
Dokstarr;2
Syder;2
lastkill3r;2
anikiii;2
diisco;2
ZueriHB;2
GeekNFreak;2
Simonbelmont78;2
Murfo;2
bart711;2
vwguy;2
MrSparkle;2
Combes;2
Guy Perfect;2
thaddius;2
Shizbah;2
LouSalome;2
mooshue;2
Carsten;2
Zilkworm;2
choppingmall;2
blcklblskt;2
Phobophile;2
VirtualGameBoy;2
nibiru8722;2
Nightowljrm;2
LilRocky;2
megax9;2
EVIL NOD;2
Dr.Crackers;2
Master Chief 2363;2
Kentendo;2
Motament;2
Protoman85;2
RAD;2
Person;2
Marish V. Card;2
Fitty;2
Opeth;2
SNK;2
Tints;2
syrupdash;2
Blombi;2
baron_beef_dip;2
Michael Bernard;2
Bidule17;2
glaros;2
AndrewW;2
JoserMDK;2
Ringman;2
el_cut;2
tetrisgrammaton;2
VRZone;2
stranno;2
WhiteSpyder;2
TheGrandPubaa;2
Taute;2
guruguy;2
PeckGoesVirtual;2
VectrexRoli;2
Sunkan;2
jbonez;2
shipwreck_00;2
gryfang;2
Big Bank Hank;2
Boneriver;2
gdfgdf;2
Bomberman94;2
robbievgb;2
coyo5050;2
super mario;2
robski;2
Sampler;2
-BB-;2
Virtual;2
3D in red;2
Elrinth;2
virtuetovice;2
CJZEPP;2
Pierce;2
BlinksTale;2
DaG;2
Andyfell;2
VirtualRolf;2
Nick;2
Agent2112;2
MoFaJo;2
samus;2
Twilight_Fenrir;2
frostyboy;2
fAx;2
1upped;2
focusrs;2
blitter;2
FeistyGirl;2
Black Chaos;2
ThatOtherDan;2
matthew rafalko;2
Nzdjh;2
JSwoll;2
NR20;2
Zubari95;2
Gaunab;2
oldskoolmodderguy;2
Fredde;2
Plankton;2
TheForce81;2
HandsomeDan;2
rubengar;2
doubledown;2
Matthew Callis;2
Beta;2
Ryu Cheese;2
Gerrhod;2
yakuza;2
scopevanilla;2
wiidata.net;2
Gabriel;2
Slappy;2
ExSlyder;2
josephmalenkov;2
Scottj10;2
Gabor;2
Tower of Infinity;2
kcsims;2
Tack;2
Jay666;2
Johnny Phantom;2
JoePassive;2
ectoglow;2
SenorBasil;2
Eric;2
Willy105;2
Troglodyte;2
Parasyte;2
ter3;2
Thunder Fist;2
IOwnMyWiiULEGIT;2
GreDe85;2
megazoid;2
3L_S4N70;2
Nutmeister;2
Craby;2
nusilver;2
heftymadmonkey;2
nabz32;2
JavOLeeN;2
Esememon;2
VBRetroGamer;2
Virtual Fiend;2
chrisyunger;2
arthur;2
bballctr50;2
Gookanheimer;2
Sprachpoet;2
Supergeon;2
nachosinbed;2
Alex;2
rdk123;2
GabrielHanson2000;2
Ack;2
Mitch Naz;2
Susan;2
I h8t you're message;2
terrisus;2
mmHNmm;2
David Pimentel;2
HP Lovethrash;2
Vrfan;2
NathanBarnatt;2
chrisgringo;2
FuriousJorge;2
CodeFish;2
Fender119;2
VirtualHomsar12;2
Konner;2
MasterOfPuppets;2
Kompressor;2
RafikiDreamer;2
Ryosaebaa;2
SkullAndXBones;2
Chris Evans;2
DocDoak;2
DogP;2
Arvester;2
Marcus;2
Feva Records;2
Breedlove;2
ryucheese;2
bitxero;2
nvchad2;2
dave4shmups;2
minkkari;2
Thehecter;2
wilmz68;2
Acer;2
KoNeko;2
Russcular;2
tegu;2
ttc817;2
M-A-D-M-A-X;2
KingDedede;2
mister x;2
lilhalfdead;2
pimp72;2
DocAetzn;2
nitrosport2000;2
Charrass69;2
chrisideluxe22;2
